code,name,material,slot,slot_index,effect_text,kind,tier,tags,source
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,main,0,Смертельный Яд,poison,deadly,,Copy of Лаборатория Агнес.xlsx
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,add1,1,Выводит смертельные яды из организма (сила вашего эликсира/зелья должна быть минимум половины силы яда),detox_poison,deadly,,Copy of Лаборатория Агнес.xlsx
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,add2,2,Выводит смертельные вирусы из организма (сила вашего эликсира/зелья должна быть минимум половины силы вируса),raw,,,Copy of Лаборатория Агнес.xlsx
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,add3,3,Парализует погружая в магический стазис,raw,,,Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,main,0,"Дарует в следствии мутации талант ""Прекрасный Незнакомец"" 3 ступени, при использовании вне мутации дает на время красоту (Маркер красной розы)",raw,,,Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,add1,1,Повышенная болтливость и честность (может использоваться в зельях/эликсирах правды),raw,,,Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,add2,2,"Абсолютная любовь к окружающим без исключения (если добавлена чья то кровь в эликсир, то любовь к тому чья кровь была добавлена)",raw,,,Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,add3,3,"Разжигает страсть к прекрасному (искусство, слова, предметы и т.п.)",raw,,,Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,main,0,"Смертельный яд для перевёртышей (обладатели таланта ""Превращение"")",poison,deadly,shapeshifter,Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,add1,1,Способно вылечить средний тип болезней,raw,,,Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,add2,2,"Лечит сумасшествие, нервные расстройства",raw,,,Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,add3,3,Разрушает наложенное ментальное воздействие,mental_cleanse,,,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,main,0,"Путанность мыслей, невозможность их сформулировать",raw,,,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,add1,1,Помогает при лихорадке,raw,,,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,add2,2,Кровоостанавливающее средство,stop_bleeding,,,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,add3,3,Ослабляет ментальную защиту,mental_protection,,,Copy of Лаборатория Агнес.xlsx
BN,Белена,Жасмин,main,0,"Галлюцинации, вызывающие злобу, агрессивность, манию пресследования",hallucinations,,,10.2 Алхимия_ Молодой Аристократ.xlsx
BN,Белена,Жасмин,add1,1,"Сильное болеутоляющее, может использоваться, как анастезия",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
BN,Белена,Жасмин,add2,2,Слабый яд (понижает энергию),poison_energy_down,weak,energy_down,10.2 Алхимия_ Молодой Аристократ.xlsx
BN,Белена,Жасмин,add3,3,Повышает привлекательность для дэймонов,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
BNN,Борода Ниссе/Домового,Ванилин,main,0,Вызывает сильное желание оберегать и заботиться о слабых,raw,,,Copy of Лаборатория Агнес.xlsx
BNN,Борода Ниссе/Домового,Ванилин,add1,1,Используется в зельях иллюзий,raw,,,Copy of Лаборатория Агнес.xlsx
BNN,Борода Ниссе/Домового,Ванилин,add2,2,Защищает от кошмаров,hallucinations,,,Copy of Лаборатория Агнес.xlsx
BNN,Борода Ниссе/Домового,Ванилин,add3,3,Дает иммунитет к зельям правды и другим техникам допросов,raw,,,Copy of Лаборатория Агнес.xlsx
CG,Цветок Гармонии,Арония,main,0,"Помогает от магии энергий (тело, душа, тень)",raw,,,Copy of Лаборатория Агнес.xlsx
CG,Цветок Гармонии,Арония,add1,1,Отпугивает Дэймонов,raw,,,Copy of Лаборатория Агнес.xlsx
CG,Цветок Гармонии,Арония,add2,2,"Востанавливает от ран Души (не психологические, а магического составляющего любого живого существа)",raw,,,Copy of Лаборатория Агнес.xlsx
CG,Цветок Гармонии,Арония,add3,3,Вводит в летаргический сон,sleep,,coma,Copy of Лаборатория Агнес.xlsx
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),Чёрный крупнолистовой чай,main,0,Усиление способности впитывать энергию,raw,,,Copy of Лаборатория Агнес.xlsx
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),Чёрный крупнолистовой чай,add1,1,Способность генерировать все типы энергий из энергии Души,raw,,,Copy of Лаборатория Агнес.xlsx
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),Чёрный крупнолистовой чай,add2,2,"Устойчивость к реализации любых энергий, кроме Тела и Света",raw,,,Copy of Лаборатория Агнес.xlsx
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),Чёрный крупнолистовой чай,add3,3,Восстанавливает энергетические потоки в организме при их разрыве (каждый разрыв востанавливается при силе готового зелья/эликсира не менее 20 единиц),raw,,,Copy of Лаборатория Агнес.xlsx
CN,Кровь Нулла,Красный пищевой краситель,main,0,Средний Яд,poison,medium,,10.2 Алхимия_ Молодой Аристократ.xlsx
CN,Кровь Нулла,Красный пищевой краситель,add1,1,Увеличивает Физическое здоровье до показателя силы крови (хиты=сила крови),raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
CN,Кровь Нулла,Красный пищевой краситель,add2,2,"Увеличивает рандомно знание магии на 1 единицу. При временном эффекте зелье/эликсир/настойки написать в бот мг для получения рандомной точки усиления, действовать усиление будет в течение действия зелья/эликсира/настойки. При неснимаемом/нерушимом продукте магии получить рандомную карту ОП у мг.",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
CN,Кровь Нулла,Красный пищевой краситель,add3,3,Слабый яд,poison,weak,,10.2 Алхимия_ Молодой Аристократ.xlsx
DGR,Древо Грюневальд,Кора Дуба,main,0,"Увеличивает плодородие (100% залет), может привести к непорочному зачатию в случае если в составе эликсира.",raw,,,Copy of Лаборатория Агнес.xlsx
DGR,Древо Грюневальд,Кора Дуба,add1,1,"Влияет на детей в утробе, увеличивает потенциал силы крови",raw,,,Copy of Лаборатория Агнес.xlsx
DGR,Древо Грюневальд,Кора Дуба,add2,2,"Дает долголетие (пара луна и луч закрашиваются раз в 20 лет), работает только в мутациях.",raw,,,Copy of Лаборатория Агнес.xlsx
DGR,Древо Грюневальд,Кора Дуба,add3,3,"В составе эликсиров является смертельным ядом, для обладателя плюса ""Ахилесова Пята"".",poison,deadly,achilles,Copy of Лаборатория Агнес.xlsx
EO,Эссенция призрака,Зелённый пищевой краситель,main,0,"Открывает способности к переходу за грань (одноразовая сработка таланта ""Обманщик Ограничений на 1 ступени)",raw,,,Copy of Лаборатория Агнес.xlsx
EO,Эссенция призрака,Зелённый пищевой краситель,add1,1,"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам)",raw,,,Copy of Лаборатория Агнес.xlsx
EO,Эссенция призрака,Зелённый пищевой краситель,add2,2,"Увеличивает магический потенциал (сила крови *2, но не более 50ти единиц. При этом не увеличивает показатель хитов)",raw,,,Copy of Лаборатория Агнес.xlsx
EO,Эссенция призрака,Зелённый пищевой краситель,add3,3,"Позволяет видеть невидимое и скрытое (работает как плюс ""Глаза Существа - Элементаль"")",raw,,,Copy of Лаборатория Агнес.xlsx
EP,Концентрат Эктоплазмы призрака,Кунжут,main,0,Делает нематериальным (зелёная вуаль),raw,,,Copy of Лаборатория Агнес.xlsx
EP,Концентрат Эктоплазмы призрака,Кунжут,add1,1,Вызывает панику,raw,,,Copy of Лаборатория Агнес.xlsx
EP,Концентрат Эктоплазмы призрака,Кунжут,add2,2,Вызывает непереносимость солнечного света,raw,,,Copy of Лаборатория Агнес.xlsx
EP,Концентрат Эктоплазмы призрака,Кунжут,add3,3,Сильный яд,poison,strong,,Copy of Лаборатория Агнес.xlsx
FN,Фрамбаозза Норвежская,Листья Малины,main,0,"Эйфория, схожая с опьянением",intoxication,,,Copy of Лаборатория Агнес.xlsx
FN,Фрамбаозза Норвежская,Листья Малины,add1,1,Жаропонижающаее средство,raw,,,Copy of Лаборатория Агнес.xlsx
FN,Фрамбаозза Норвежская,Листья Малины,add2,2,Заживляет раны,healing,,,Copy of Лаборатория Агнес.xlsx
FN,Фрамбаозза Норвежская,Листья Малины,add3,3,Побуждает говорить только правду,truth,,,Copy of Лаборатория Агнес.xlsx
FR,Философская Ртуть (Время/Оранжевый),Корень солодки (раствор),main,0,"Головокружение, проблемы с вестибулярным аппаратом",raw,,,Copy of Лаборатория Агнес.xlsx
FR,Философская Ртуть (Время/Оранжевый),Корень солодки (раствор),add1,1,Смертельный яд,poison,deadly,,Copy of Лаборатория Агнес.xlsx
FR,Философская Ртуть (Время/Оранжевый),Корень солодки (раствор),add2,2,Используется для смены внешности,raw,,,Copy of Лаборатория Агнес.xlsx
FR,Философская Ртуть (Время/Оранжевый),Корень солодки (раствор),add3,3,Блокирует магическую силу (сила эликсира = время в минутах),raw,,,Copy of Лаборатория Агнес.xlsx
FS,Философская Сера (Разум/Зелёный),Мускатный орех молотый,main,0,"Совершение плохого поступка (одно действие, которое по моральному кодексу персонажа никогда бы не было бы совершено)",raw,,,Copy of Лаборатория Агнес.xlsx
FS,Философская Сера (Разум/Зелёный),Мускатный орех молотый,add1,1,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,,Copy of Лаборатория Агнес.xlsx
FS,Философская Сера (Разум/Зелёный),Мускатный орех молотый,add2,2,Вызывает немоту,raw,,,Copy of Лаборатория Агнес.xlsx
FS,Философская Сера (Разум/Зелёный),Мускатный орех молотый,add3,3,Средний яд,poison,medium,,Copy of Лаборатория Агнес.xlsx
GLH,Глаз Лиха/Глаза Гуля,Киви,main,0,"Дарует плюс ""Глаза существа"" - Хэйри (при обратной формуле) /Дэймон (при прямой формуле). Может использоваться в зельях, для врменного эффекта.",raw,,,Copy of Лаборатория Агнес.xlsx
GLH,Глаз Лиха/Глаза Гуля,Киви,add1,1,На 3 часа делает вас отвратительным и не красивым (синяя роза),raw,,,Copy of Лаборатория Агнес.xlsx
GLH,Глаз Лиха/Глаза Гуля,Киви,add2,2,Лишает знаний языков,raw,,,Copy of Лаборатория Агнес.xlsx
GLH,Глаз Лиха/Глаза Гуля,Киви,add3,3,"Дает магический счит от магии энергии Тени, может использоваться как противовес данной энергии в составе эликсира.",raw,,,Copy of Лаборатория Агнес.xlsx
GRO,Грозовик,Шалфей,main,0,"Ядовито для женщин, при контакте приводик к сну без сноведений (правила магической комы). У мужчин вызывает опьянение и эфорию.",gender_toxin,,women_sleep;men_intox,Copy of Лаборатория Агнес.xlsx
GRO,Грозовик,Шалфей,add1,1,Усиление магии молнии,raw,,,Copy of Лаборатория Агнес.xlsx
GRO,Грозовик,Шалфей,add2,2,Эйфория,intoxication,,,Copy of Лаборатория Агнес.xlsx
GRO,Грозовик,Шалфей,add3,3,"Невосприимчивость к привлекательности противоположного пола (как магической, так и природной)",raw,,,Copy of Лаборатория Агнес.xlsx
GSI,Глаза Сильфа,Маршмэллоу,main,0,"Используется для лишения плюса ""Глаза Существа"" через эликсиры Мутаций. При использовании в зельях лишает плюса на время работы зелья.",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
GSI,Глаза Сильфа,Маршмэллоу,add1,1,"Отрезвляет, без похмелья",sobriety,,,10.2 Алхимия_ Молодой Аристократ.xlsx
GSI,Глаза Сильфа,Маршмэллоу,add2,2,Противоядие против средних ядов,antidote,medium,,10.2 Алхимия_ Молодой Аристократ.xlsx
GSI,Глаза Сильфа,Маршмэллоу,add3,3,"Согревает изнутри, используется для пробуждающих эликсиров (можно использовать такие для снятия стазиса и других эффектов насильного погружения в сны)",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
HS,Хрящи Саламандры,Арахис (жареный и чищеный),main,0,Стойкость к любого рода соблазнам,temptation_resistance,,,Copy of Лаборатория Агнес.xlsx
HS,Хрящи Саламандры,Арахис (жареный и чищеный),add1,1,Вызывает Магическую Лихорадку (получи карту вируса у МГ),raw,,,Copy of Лаборатория Агнес.xlsx
HS,Хрящи Саламандры,Арахис (жареный и чищеный),add2,2,Повышенная холоднокровность в поступках,raw,,,Copy of Лаборатория Агнес.xlsx
HS,Хрящи Саламандры,Арахис (жареный и чищеный),add3,3,Повышает храбрость и мужество,raw,,,Copy of Лаборатория Агнес.xlsx
HV,Хорхелла,Гвоздика,main,0,Снижает влечение к противоположному полу,raw,,,Copy of Лаборатория Агнес.xlsx
HV,Хорхелла,Гвоздика,add1,1,Среднее Противоядие,antidote,medium,,Copy of Лаборатория Агнес.xlsx
HV,Хорхелла,Гвоздика,add2,2,Против ментального воздействия,mental_protection,,,Copy of Лаборатория Агнес.xlsx
HV,Хорхелла,Гвоздика,add3,3,Эффект снотворного,sleep,,,Copy of Лаборатория Агнес.xlsx
IAP,Эссенция Подвея,Мармелад,main,0,Разжигает чувство вины,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
IAP,Эссенция Подвея,Мармелад,add1,1,Открывает тягу к природе (обнимать березу и т.д.),raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
IAP,Эссенция Подвея,Мармелад,add2,2,"Усиливает готовый эликсир. Сила усиления равна ступени вашего эликсира/зелья (была ступень суперио, усиление идет на +3 единицы и т.д.)",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
IAP,Эссенция Подвея,Мармелад,add3,3,"Позволяет видеть сквозь красную вуаль (работает как плюс ""Глаза Существа - Элементаль"")",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
IBP,Измельченная Борода Подвея,Мука Пшеничная,main,0,Вызывает немоту,raw,,,Copy of Лаборатория Агнес.xlsx
IBP,Измельченная Борода Подвея,Мука Пшеничная,add1,1,Блокирует Таланты на время работы эликсира,raw,,,Copy of Лаборатория Агнес.xlsx
IBP,Измельченная Борода Подвея,Мука Пшеничная,add2,2,Делает Нематериальным (зелёная вуаль),raw,,,Copy of Лаборатория Агнес.xlsx
IBP,Измельченная Борода Подвея,Мука Пшеничная,add3,3,Ненависть к кровным узам (к близким родственикам),raw,,,Copy of Лаборатория Агнес.xlsx
KAL,Клыки Упыря/Тэнгри/Альпа,Соленый огурец,main,0,Парализующий сильный яд,poison,strong,paralysis,Copy of Лаборатория Агнес.xlsx
KAL,Клыки Упыря/Тэнгри/Альпа,Соленый огурец,add1,1,"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам). Применимо только в мутациях.",raw,,,Copy of Лаборатория Агнес.xlsx
KAL,Клыки Упыря/Тэнгри/Альпа,Соленый огурец,add2,2,"Используется для очищения от мутаций, а так же может использоваться в эликсирах/зельях лечения физических ран (востановления хитов)",healing,,,Copy of Лаборатория Агнес.xlsx
KAL,Клыки Упыря/Тэнгри/Альпа,Соленый огурец,add3,3,Разжигает голод до крови 1 ступени (см правила по голоду),raw,,,Copy of Лаборатория Агнес.xlsx
KDR,Кровь Древнего,Гранатовый сок,main,0,Смертельный яд,poison,deadly,,Copy of Лаборатория Агнес.xlsx
KDR,Кровь Древнего,Гранатовый сок,add1,1,"Дает плюс ""Великий Лидер"" на 30 минут, над существами вашего вида",raw,,,Copy of Лаборатория Агнес.xlsx
KDR,Кровь Древнего,Гранатовый сок,add2,2,"Увеличиввает срок жизни (1 пара луна+луч это 15 лет, а не 10)",raw,,,Copy of Лаборатория Агнес.xlsx
KDR,Кровь Древнего,Гранатовый сок,add3,3,Дает рандомно (на выбор куба Д10) 1 стихийный талант на 1 ступени,raw,,,Copy of Лаборатория Агнес.xlsx
KLA,Лапа Алконоста/Симурана,Фисташки,main,0,Барьер Души снижается до 1 единицы,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
KLA,Лапа Алконоста/Симурана,Фисташки,add1,1,"Невозможно молчать, нужно всегда что-то говорить или петь",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
KLA,Лапа Алконоста/Симурана,Фисташки,add2,2,Дает плюс “Фартовый” при использовании свойства в эликсире Мутации. В зельях при использовании плюс дается временно.,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
KLA,Лапа Алконоста/Симурана,Фисташки,add3,3,Вегаторианство (позволяет заглушить голод персонажа фруктами или овощами),raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
KLS,Клюква Сибирская,Клюква,main,0,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,,Copy of Лаборатория Агнес.xlsx
KLS,Клюква Сибирская,Клюква,add1,1,"Затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""Регенерация"")",raw,,,Copy of Лаборатория Агнес.xlsx
KLS,Клюква Сибирская,Клюква,add2,2,"Дарует магический щит, работающий только против магии энергии души (стихийная магия, стихийные таланты)",raw,,,Copy of Лаборатория Агнес.xlsx
KLS,Клюква Сибирская,Клюква,add3,3,"Помогает при лихорадке, снижает температуру",raw,,,Copy of Лаборатория Агнес.xlsx
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,Клубничный сок с черным красителем или активированным углем,main,0,"Используется для очещения от мутаций, а так же может использоваться в эликсирах лечения физических ран (востановления хитов)",healing,,,Copy of Лаборатория Агнес.xlsx
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,Клубничный сок с черным красителем или активированным углем,add1,1,"Противовирусное средство (физические болезни, убирает симптомы, ослабляет силу вируса)",raw,,,Copy of Лаборатория Агнес.xlsx
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,Клубничный сок с черным красителем или активированным углем,add2,2,Невозможность пересечь круг из твердой квинтэссенции,raw,,,Copy of Лаборатория Агнес.xlsx
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,Клубничный сок с черным красителем или активированным углем,add3,3,Используется в эликсирах для разжигания неудачи (см правила по маркерам),raw,,,Copy of Лаборатория Агнес.xlsx
KPM,Камень из почки мага,Мятный леденец,main,0,"Увеличивает силу крови мага (на время действия эликсира/зелья) на силу эликсира, на 1 боевую ситуацию.",raw,,,Copy of Лаборатория Агнес.xlsx
KPM,Камень из почки мага,Мятный леденец,add1,1,Позволяет увеличить контроль магии (сила любых магических техник *2),raw,,,Copy of Лаборатория Агнес.xlsx
KPM,Камень из почки мага,Мятный леденец,add2,2,Дарует физическое здоровье (используется в зельях/эликсирах лечения физ ран),raw,,,Copy of Лаборатория Агнес.xlsx
KPM,Камень из почки мага,Мятный леденец,add3,3,Сильное противоядие,antidote,strong,,Copy of Лаборатория Агнес.xlsx
KQ,Квинтэсэнция (Душа/Красный),Соляной раствор (концентрат),main,0,"Дает прозрение (одноразовая сработка таланта ""Третий Глаз"" на 1 ступени)",raw,,,Copy of Лаборатория Агнес.xlsx
KQ,Квинтэсэнция (Душа/Красный),Соляной раствор (концентрат),add1,1,Уравновешенность,raw,,,Copy of Лаборатория Агнес.xlsx
KQ,Квинтэсэнция (Душа/Красный),Соляной раствор (концентрат),add2,2,Лечение магических болезней (ментальных),raw,,,Copy of Лаборатория Агнес.xlsx
KQ,Квинтэсэнция (Душа/Красный),Соляной раствор (концентрат),add3,3,Способно лечить физические раны (восстанавливает хиты),healing,,,Copy of Лаборатория Агнес.xlsx
KS,Кровь Сильфа,Голубой пищевой краситель,main,0,Увеличивает Легкомыслие,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
KS,Кровь Сильфа,Голубой пищевой краситель,add1,1,Обладает свойствами невидимости (красная вуаль),raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
KS,Кровь Сильфа,Голубой пищевой краситель,add2,2,"Отрезвляет, без похмелья",sobriety,,,10.2 Алхимия_ Молодой Аристократ.xlsx
KS,Кровь Сильфа,Голубой пищевой краситель,add3,3,Используется для зелий Левитации,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
KSH,Когти Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Кедровые Орехи,main,0,"Используется для очищения от мутаций, а так же может использоваться в элексирах лечения физических ран (востановления хитов)",healing,,,Copy of Лаборатория Агнес.xlsx
KSH,Когти Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Кедровые Орехи,add1,1,Вызывает галюцинации,hallucinations,,,Copy of Лаборатория Агнес.xlsx
KSH,Когти Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Кедровые Орехи,add2,2,Дарует магические силы (талант или магический плюс рандомно от МГ),raw,,,Copy of Лаборатория Агнес.xlsx
KSH,Когти Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Кедровые Орехи,add3,3,"Натягивает связь тела и личности, деляя ее более короткой",raw,,,Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,main,0,Используется в эликсирах Полета,raw,,,Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,add1,1,"Может использоваться в эликсирах смены предрасположености (только по средством мутации). При использовании в зельях предрасположеность меняется временно, пока работает зелье (бросьте куб d10 и через бот сообщите мг значение, для того что бы вам сообщили вашу временную предрасположеность)",raw,,,Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,add2,2,"Получение минуса ""Любопытная Варвара"" (только по средством мутации). При использовании в зельях минус появляется временно, пока работает зелье.",curious_varvara,,,Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,add3,3,Для эликсиров/зелий проникновения в чужой сон,raw,,,Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,main,0,"Позволяет использовать талант ""улыбка Хитреца"" 1 ступени",raw,,,Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,add1,1,"Слабость к музыке: доверие как к близкому другу к любому, кто является источником музыки (поет, играет, включил музыку)",raw,,,Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,add2,2,Клептомания,kleptomania,,,Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,add3,3,Повышенная мстительность,raw,,,Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,main,0,Магия темпуса на выходе сила*2,raw,,,Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,add1,1,Возврат в нормальное состояние тела и разума для типа существа и чистоты крови,raw,,,Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,add2,2,Покрытие золотой чешуей (физ. щит силой вашего эликсира/зелья),raw,,,Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,add3,3,Позволяет увеличить безопасно время нахождения в стазисе/коме время увеличивается на ступень*10 минут,raw,,,Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,main,0,"Слабый яд, для змееподобных существ (драконы, различные змеи, полукровки от них и т.д.)",poison,weak,,Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,add1,1,Призывает удачу (маркер золотых звезд),raw,,,Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,add2,2,"Вызывает заболевание ""Дырявая Душа"" (получить аскольд карту у МГ)",raw,,,Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,add3,3,"Позволяет выйти в мир снов Настоящее, как после применения соответсвующих заклинаний сноходства",raw,,,Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,main,0,Повышает настроение до здоровой веселости,raw,,,Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,add1,1,Лечит нарушения сна,raw,,,Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,add2,2,Понижает половое влечение,raw,,,Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,add3,3,Спасает от кошмаров,hallucinations,,,Copy of Лаборатория Агнес.xlsx
MA,Марена Аравийская,Пуэр,main,0,Невозможно уснуть,cant_sleep,,insomnia,10.2 Алхимия_ Молодой Аристократ.xlsx
MA,Марена Аравийская,Пуэр,add1,1,"Бодрость (способность находиться в состоянии высокого жизненного тонуса, избытка сил и желания что-либо делать)",wake,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MA,Марена Аравийская,Пуэр,add2,2,Бесстрашие и безрассудство,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MA,Марена Аравийская,Пуэр,add3,3,Вспыльчивость,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,main,0,Помогает при разного рода омоложении сознания,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,add1,1,Помогает при дезориентации в пространстве,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,add2,2,Головная боль в височной части,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,add3,3,Снимает дрожжь в конечностях,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,main,0,Успокаивает до безэмоциональности,raw,,,Copy of Лаборатория Агнес.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,add1,1,Очищает разум,raw,,,Copy of Лаборатория Агнес.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,add2,2,Восстанавливает память,raw,,,Copy of Лаборатория Агнес.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,add3,3,Снотворное,sleep,,,Copy of Лаборатория Агнес.xlsx
MHK,Можжевельник кладбищенский,Можжевельник,main,0,"В составе эликсира дает магу защиту от различных духов и призраков, защищая от проникновения их в тело.",raw,,,Copy of Лаборатория Агнес.xlsx
