code,name,material,slot,slot_index,effect_text,kind,tier,tags,source
MHK,Можжевельник кладбищенский,Можжевельник,add1,1,Улучшает ментальную защиту,mental_protection,,,Copy of Лаборатория Агнес.xlsx
MHK,Можжевельник кладбищенский,Можжевельник,add2,2,Усиливает любой эликсир/зелье на выходе. Сила усиления зависит от ступени приготовления зелья/эликсира. Усиление идет +показатель ступени.,raw,,,Copy of Лаборатория Агнес.xlsx
MHK,Можжевельник кладбищенский,Можжевельник,add3,3,Против проклятий (временно их отключает если сила зелья/эликсира выше его показателя силы),raw,,,Copy of Лаборатория Агнес.xlsx
MIV,Молоко Вилтака,Кокосовое Молоко,main,0,"Затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""Регенерация"")",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MIV,Молоко Вилтака,Кокосовое Молоко,add1,1,Проявляет невидимое,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MIV,Молоко Вилтака,Кокосовое Молоко,add2,2,Понижает Голод (позволяет заглушить голод персонажа фруктами или овощами),raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MIV,Молоко Вилтака,Кокосовое Молоко,add3,3,Снижает агресивность,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MMM,Мясо Маркополо,Вареная колбаса/сосиски,main,0,"Вызывает общее насыщение организма, используется в мутациях для получения плюса ""Сытый""",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MMM,Мясо Маркополо,Вареная колбаса/сосиски,add1,1,Дает неуязвимость к стихийной магии и энергии Души,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MMM,Мясо Маркополо,Вареная колбаса/сосиски,add2,2,Может использоваться против плюсов физического или магического типа,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MMM,Мясо Маркополо,Вареная колбаса/сосиски,add3,3,Может использоваться против плюсов психических и существ,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MR,Миртилия Равнинная,Листья Ежевики,main,0,"Вызывает галюцинации, может использоваться для выхода в транс для Шаманов или для глубокого погружения в медитацию.",hallucinations,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MR,Миртилия Равнинная,Листья Ежевики,add1,1,"Состояние влюбленности (в первое существо (разумное) противоположного пола, которое увидел)",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MR,Миртилия Равнинная,Листья Ежевики,add2,2,Фрагментарное ухудшение памяти,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MR,Миртилия Равнинная,Листья Ежевики,add3,3,Заставляет говорить только правду,truth,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MС,Молодильный Семень,Душистый Перец Горошком,main,0,"Омолаживает на 10 лет, может применяться 1 раз на 1 персонажа за всю его жизнь",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MС,Молодильный Семень,Душистый Перец Горошком,add1,1,Уменьшает влечение к противоположному полу,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MС,Молодильный Семень,Душистый Перец Горошком,add2,2,"Защищает от суккубов и инкубов (любых видов соблазнения, убирает воздействия афродизиаков и приворотов)",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
MС,Молодильный Семень,Душистый Перец Горошком,add3,3,Заставляет непрерывно врать,lie,,,10.2 Алхимия_ Молодой Аристократ.xlsx
OM,Омела,Иван Чай,main,0,Средний Яд (открывает кровотечение),poison_bleeding,medium,bleeding,Copy of Лаборатория Агнес.xlsx
OM,Омела,Иван Чай,add1,1,Бесстрашие и безрассудство,raw,,,Copy of Лаборатория Агнес.xlsx
OM,Омела,Иван Чай,add2,2,"Выводит из депрессии, повышает общий тонус организма, бодрит",raw,,,Copy of Лаборатория Агнес.xlsx
OM,Омела,Иван Чай,add3,3,Заставляет фиксироваться на одной цели,raw,,,Copy of Лаборатория Агнес.xlsx
PL,Платиум (Свет/Желтый),Белый сахар кубиком,main,0,"Обращает вспять превращения любого рода (отменяет последнюю мутацию организма, останавливает превращение через блокировку таланта ""Превращение"" и блокировку плюса ""Второй Облик"")",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
PL,Платиум (Свет/Желтый),Белый сахар кубиком,add1,1,Возвращает утерянный слух,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
PL,Платиум (Свет/Желтый),Белый сахар кубиком,add2,2,Возвращает утерянное зрение,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
PL,Платиум (Свет/Желтый),Белый сахар кубиком,add3,3,"Приводит настроение в состояние равновесия, убирает негативные чувтсва",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
PS,Сушеные пальцы Скоге/Ауки,Укроп,main,0,"Мстительность, агрессия",raw,,,Copy of Лаборатория Агнес.xlsx
PS,Сушеные пальцы Скоге/Ауки,Укроп,add1,1,Дают возможность разговаривать с растениями,raw,,,Copy of Лаборатория Агнес.xlsx
PS,Сушеные пальцы Скоге/Ауки,Укроп,add2,2,Защищают от воздействий на разум,raw,,,Copy of Лаборатория Агнес.xlsx
PS,Сушеные пальцы Скоге/Ауки,Укроп,add3,3,Сводят с ума,raw,,,Copy of Лаборатория Агнес.xlsx
QCH,Калёное Железо (Тело/Синий),Паприка молотая,main,0,Приводит в баланс энергии Жизни и Смерти в теле  (выравнивает кол-во карт Жизни и Смерти в теле Лекаря в меньшую сторону),raw,,,Copy of Лаборатория Агнес.xlsx
QCH,Калёное Железо (Тело/Синий),Паприка молотая,add1,1,Нормализует энергообмен в теле,raw,,,Copy of Лаборатория Агнес.xlsx
QCH,Калёное Железо (Тело/Синий),Паприка молотая,add2,2,Возвращает телу чувствительность,raw,,,Copy of Лаборатория Агнес.xlsx
QCH,Калёное Железо (Тело/Синий),Паприка молотая,add3,3,Наносит повреждения магическим созданиям (работает как слабый яд для существ),poison,weak,,Copy of Лаборатория Агнес.xlsx
QLH,Череп Лиха/Череп Трау,Горчичный порошок,main,0,"Позволяет взять под контроль любого мага по аналогии с талантом ""Знаменитый Кукловод"" на 2 ступени реализации (если использовать с кровью жертвы)",raw,,,Copy of Лаборатория Агнес.xlsx
QLH,Череп Лиха/Череп Трау,Горчичный порошок,add1,1,"Усиливает техники энергии если в составе эликисра используется металл, определение усиления идет в зависимотри от металла  (сила эликсира/2 = + к техникам)",raw,,,Copy of Лаборатория Агнес.xlsx
QLH,Череп Лиха/Череп Трау,Горчичный порошок,add2,2,"Дарует талант ""Манипулятор"" на 1 ступени реализации",raw,,,Copy of Лаборатория Агнес.xlsx
QLH,Череп Лиха/Череп Трау,Горчичный порошок,add3,3,"Разжигает голод на 1 ступени, до плоти магов",raw,,,Copy of Лаборатория Агнес.xlsx
RCH,Речница,Календула,main,0,"Повышает привлекательность в глазах представителей противоположного пола, может использоваться в приворотных эликсирах.",raw,,,Copy of Лаборатория Агнес.xlsx
RCH,Речница,Календула,add1,1,Уменьшает силу стихийных чар,raw,,,Copy of Лаборатория Агнес.xlsx
RCH,Речница,Календула,add2,2,Побуждает рисковать и подбивать на рискованные действия других,raw,,,Copy of Лаборатория Агнес.xlsx
RCH,Речница,Календула,add3,3,"Усиливает техники энергии ""Мира"" (сила эликсира/2 = + к техникам)",raw,,,Copy of Лаборатория Агнес.xlsx
RK,Рогатый Корень,Корень имбиря,main,0,Тонизирует (более слабый вариант бодрости),wake,,,Copy of Лаборатория Агнес.xlsx
RK,Рогатый Корень,Корень имбиря,add1,1,"Способно спасти от смертельных ядов, противоядие",antidote,deadly,,Copy of Лаборатория Агнес.xlsx
RK,Рогатый Корень,Корень имбиря,add2,2,Исцеляет физические раны,healing,,,Copy of Лаборатория Агнес.xlsx
RK,Рогатый Корень,Корень имбиря,add3,3,Увеличивает самую сильную привязанность до влюбленности,raw,,,Copy of Лаборатория Агнес.xlsx
ROS,Рога Суккуба/Рога Трау,темный шоколад,main,0,Дает возможность на 3 часа быть неотразимым кому угодно (ношение красной розы),raw,,,Copy of Лаборатория Агнес.xlsx
ROS,Рога Суккуба/Рога Трау,темный шоколад,add1,1,Вызывает сексуальную дисфункцию (спосает от любых приворотов),raw,,,Copy of Лаборатория Агнес.xlsx
ROS,Рога Суккуба/Рога Трау,темный шоколад,add2,2,"Вызывает сексуальный подьем (работает как сильный стимулятор, раскрывает сексуальное влечение и выпускает на ружу)",raw,,,Copy of Лаборатория Агнес.xlsx
ROS,Рога Суккуба/Рога Трау,темный шоколад,add3,3,Слабый яд,poison,weak,,Copy of Лаборатория Агнес.xlsx
RP,Роза Памяти,Плоды шиповника,main,0,"Делает неуязвимым к воздействиям на память, восстанавливает память. Защита ментальной составляющей Разум.",mental_protection,,,Copy of Лаборатория Агнес.xlsx
RP,Роза Памяти,Плоды шиповника,add1,1,"Неконтролируемая сработка таланта ""Истинный Сноходец"" 1 ступени, тоесть выход в мир снов ""Настоящее"" вместе с телом",raw,,,Copy of Лаборатория Агнес.xlsx
RP,Роза Памяти,Плоды шиповника,add2,2,Привлекает духов,raw,,,Copy of Лаборатория Агнес.xlsx
RP,Роза Памяти,Плоды шиповника,add3,3,Усиливает техники ментальной магии (сила эликсира/2 =  + к техникам),raw,,,Copy of Лаборатория Агнес.xlsx
RYA,Кожура Радужной ягоды,Цедра лимона,main,0,"Восстановление функционирования составляющей части личности ""Разум""",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
RYA,Кожура Радужной ягоды,Цедра лимона,add1,1,Вызывает головную боль в затылочной части,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
RYA,Кожура Радужной ягоды,Цедра лимона,add2,2,Немота,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
RYA,Кожура Радужной ягоды,Цедра лимона,add3,3,"""Морская"" болезнь, тошнота",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
SA,Снежный Аконит,Мята,main,0,СИЛЬНО повышает настроение,raw,,,Copy of Лаборатория Агнес.xlsx
SA,Снежный Аконит,Мята,add1,1,Спасает от кошмаров,hallucinations,,,Copy of Лаборатория Агнес.xlsx
SA,Снежный Аконит,Мята,add2,2,"Усиливает влечение к противоположному полу, афродизиак",raw,,,Copy of Лаборатория Агнес.xlsx
SA,Снежный Аконит,Мята,add3,3,"Вызывает ""Рыжиковое Заболевание"" (после приема зелья/эликсира с данным свойством получить аскольд-карту заболевания у МГ)",raw,,,Copy of Лаборатория Агнес.xlsx
SAP,Слюна Упыря/Тэнгри/Альпа,Томатный сок,main,0,Вызывает кошмары на яву (галюцинации с кошмарами),hallucinations,,,Copy of Лаборатория Агнес.xlsx
SAP,Слюна Упыря/Тэнгри/Альпа,Томатный сок,add1,1,Парализует (сильный яд),poison,strong,paralysis,Copy of Лаборатория Агнес.xlsx
SAP,Слюна Упыря/Тэнгри/Альпа,Томатный сок,add2,2,"Дарует талант ""Каменная Стойкость"" на 2 ступени реализации",raw,,,Copy of Лаборатория Агнес.xlsx
SAP,Слюна Упыря/Тэнгри/Альпа,Томатный сок,add3,3,"Дарует Талант ""Переносчик Чумы"" на 2 ступени реализации",raw,,,Copy of Лаборатория Агнес.xlsx
SC,Солнечный Цвет,Мать и Мачеха,main,0,Слабый яд,poison,weak,,Copy of Лаборатория Агнес.xlsx
SC,Солнечный Цвет,Мать и Мачеха,add1,1,Ослабляет ментальную защиту,mental_protection,,,Copy of Лаборатория Агнес.xlsx
SC,Солнечный Цвет,Мать и Мачеха,add2,2,"Усиливает страхи, описанный кошмар в вашей вводной для вас теперь реален и вы его видите в любой отражающей поверхности",hallucinations,,,Copy of Лаборатория Агнес.xlsx
SC,Солнечный Цвет,Мать и Мачеха,add3,3,Заживляет раны,healing,,,Copy of Лаборатория Агнес.xlsx
SD,Семена дурман-травы,Фенхель,main,0,"Нарушение функционированя составляющей части личности ""Воля""",raw,,,Copy of Лаборатория Агнес.xlsx
SD,Семена дурман-травы,Фенхель,add1,1,Галлюцинации,hallucinations,,,Copy of Лаборатория Агнес.xlsx
SD,Семена дурман-травы,Фенхель,add2,2,Потеря координации,raw,,,Copy of Лаборатория Агнес.xlsx
SD,Семена дурман-травы,Фенхель,add3,3,Лихорадка,raw,,,Copy of Лаборатория Агнес.xlsx
SF,Сердце Финфолк/Вилтак,Яблоко,main,0,"Запускает неуправляемый процесс превращений (1 превращение в час в рандомного животного или лилиута, за каждое превращение закрашивается одна пара луна-луч в печати души)",raw,,,Copy of Лаборатория Агнес.xlsx
SF,Сердце Финфолк/Вилтак,Яблоко,add1,1,Нарушает энергообмен в теле,raw,,,Copy of Лаборатория Агнес.xlsx
SF,Сердце Финфолк/Вилтак,Яблоко,add2,2,"Восстановливает функционирование составляющей части личности ""Душа""",raw,,,Copy of Лаборатория Агнес.xlsx
SF,Сердце Финфолк/Вилтак,Яблоко,add3,3,Возвращает утерянный голос,raw,,,Copy of Лаборатория Агнес.xlsx
SKI,Слюна крытаго Импла,Черный пищевой краситель,main,0,"Любая музыка, приводит к снижению барьера Воля до единицы",raw,,,Copy of Лаборатория Агнес.xlsx
SKI,Слюна крытаго Импла,Черный пищевой краситель,add1,1,"Повышенный уровень шкодливости и игривого поведения ""Шило в Попе""",raw,,,Copy of Лаборатория Агнес.xlsx
SKI,Слюна крытаго Импла,Черный пищевой краситель,add2,2,Единоразовая сработка таланта Третий Глаз на 3 ступени,raw,,,Copy of Лаборатория Агнес.xlsx
SKI,Слюна крытаго Импла,Черный пищевой краситель,add3,3,"Сильный яд для любых персонажей, кто раскрыл талант",poison,strong,,Copy of Лаборатория Агнес.xlsx
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,Корица,main,0,Усиливает готовый эликсир (сила на выходе *2) и даёт иммунитет к магии (пока работает этот эликсир полный иммунитет к любым магическим воздествиям),raw,,,Copy of Лаборатория Агнес.xlsx
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,Корица,add1,1,Делает не видимым (по правилам красной вуали),raw,,,Copy of Лаборатория Агнес.xlsx
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,Корица,add2,2,Средний Яд,poison,medium,,Copy of Лаборатория Агнес.xlsx
SP,Сушеные Пауки/Сушеная Чешуя Нёкки/Сушеная Чешуя Ундины,Корица,add3,3,Востанавливает квинтэссенцию (по силе вашего эликсира/зелья),raw,,,Copy of Лаборатория Агнес.xlsx
SPN,Семена Перситского Нарциса,Кориандр,main,0,Призывает на вашу сторону Удачу/Фортуну. Маркер Золотых Звезд.,raw,,,Copy of Лаборатория Агнес.xlsx
SPN,Семена Перситского Нарциса,Кориандр,add1,1,Используется для разжигание самоуверености,raw,,,Copy of Лаборатория Агнес.xlsx
SPN,Семена Перситского Нарциса,Кориандр,add2,2,"Омолаживает на 10 лет, может применяться 1 раз на 1 персонажа за всю его жизнь",raw,,,Copy of Лаборатория Агнес.xlsx
SPN,Семена Перситского Нарциса,Кориандр,add3,3,Смертельный Яд,poison,deadly,,Copy of Лаборатория Агнес.xlsx
SS,Семена Сладостного Забвения,Мак Кулинарный,main,0,Вызывает полную потерю памяти (временно пока работает эликсир/зелье),raw,,,Copy of Лаборатория Агнес.xlsx
SS,Семена Сладостного Забвения,Мак Кулинарный,add1,1,Невосприимчивость к боли и обезболивающее,raw,,,Copy of Лаборатория Агнес.xlsx
SS,Семена Сладостного Забвения,Мак Кулинарный,add2,2,Снотворное средство,sleep,,,Copy of Лаборатория Агнес.xlsx
SS,Семена Сладостного Забвения,Мак Кулинарный,add3,3,Сильный отворотный компонент.,raw,,,Copy of Лаборатория Агнес.xlsx
ST,Сон трава,Крапива,main,0,"Снимает последствия питания дэймона, против ""Дырявой Души"". Способно откатить симптомы данной болезни.",raw,,,Copy of Лаборатория Агнес.xlsx
ST,Сон трава,Крапива,add1,1,Сильное снотворное,sleep,,,Copy of Лаборатория Агнес.xlsx
ST,Сон трава,Крапива,add2,2,Убирает симптомы магической чумы на поздних стадиях,raw,,,Copy of Лаборатория Агнес.xlsx
ST,Сон трава,Крапива,add3,3,Слабое Противоядие,antidote,weak,,Copy of Лаборатория Агнес.xlsx
STN,Сердце Тени/Марида/Драуга,Лайм,main,0,Защита от любых магических воздействий,raw,,,Copy of Лаборатория Агнес.xlsx
STN,Сердце Тени/Марида/Драуга,Лайм,add1,1,Противоядие от смертельных ядов. При использовании в мутации свойство противоядия становится постоянным для организма.,antidote,deadly,,Copy of Лаборатория Агнес.xlsx
STN,Сердце Тени/Марида/Драуга,Лайм,add2,2,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,,Copy of Лаборатория Агнес.xlsx
STN,Сердце Тени/Марида/Драуга,Лайм,add3,3,"Позволяет снимать любой приворот, даже родовой, если сила эликсира выше минимум на 1 единицу приворота. При использовании в зелье, снятие идет временное.",raw,,,Copy of Лаборатория Агнес.xlsx
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,Лимонная кислота,main,0,"Разжигает любовь (заставляет признаться в своих чувствах, тому кто действительно нравится и в кого влюблен)",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,Лимонная кислота,add1,1,Вызывает Галлюцинации (образы исполненой мечты/грёзы),hallucinations,,,10.2 Алхимия_ Молодой Аристократ.xlsx
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,Лимонная кислота,add2,2,Снотворное средство,sleep,,,10.2 Алхимия_ Молодой Аристократ.xlsx
SY,Слёзы Ундины/Слезы Нёкки/Слезы Арахны,Лимонная кислота,add3,3,Увеличивает привлекательность (пока эликсир/зелье активен маркер красной розы),raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
SZ,Сербский Златолист,Липа,main,0,Выводит из состояния опьянения,sobriety,,,Copy of Лаборатория Агнес.xlsx
SZ,Сербский Златолист,Липа,add1,1,Повышает ментальную защиту,mental_protection,,,Copy of Лаборатория Агнес.xlsx
SZ,Сербский Златолист,Липа,add2,2,Среднее Противоядие,antidote,medium,,Copy of Лаборатория Агнес.xlsx
SZ,Сербский Златолист,Липа,add3,3,Восстанавливает энергию,restore_energy,,,Copy of Лаборатория Агнес.xlsx
TD,Чешуя Травяного Дракона,Тыквенные Семечки,main,0,Клептомания и тяга ко всему блестящему,kleptomania,,,Copy of Лаборатория Агнес.xlsx
TD,Чешуя Травяного Дракона,Тыквенные Семечки,add1,1,Разжигает манию величия,raw,,,Copy of Лаборатория Агнес.xlsx
TD,Чешуя Травяного Дракона,Тыквенные Семечки,add2,2,Позволяет понимать язык животных,raw,,,Copy of Лаборатория Агнес.xlsx
TD,Чешуя Травяного Дракона,Тыквенные Семечки,add3,3,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,,Copy of Лаборатория Агнес.xlsx
TPS,Толченое перо Алконоста/Симурана,Куркума,main,0,"Восстанавливает функционирование составляющей части личности ""Воля""",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
TPS,Толченое перо Алконоста/Симурана,Куркума,add1,1,Убирает головную боль в затылочной части,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
TPS,Толченое перо Алконоста/Симурана,Куркума,add2,2,"Убирает паралич, в том числе от различных ядов и талантов",detox_poison,,,10.2 Алхимия_ Молодой Аристократ.xlsx
TPS,Толченое перо Алконоста/Симурана,Куркума,add3,3,Снимает воспаление и зуд кожных покровов,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
UHG,Уши Гремлина,сушеное манго,main,0,"Талант ""Похититель энергии"" 1 ступени, который можно применять и к техническим устройствам(после этого устройство ломается)",raw,,,Copy of Лаборатория Агнес.xlsx
UHG,Уши Гремлина,сушеное манго,add1,1,"Повышенное недовольство ко всему, ворчливость",raw,,,Copy of Лаборатория Агнес.xlsx
UHG,Уши Гремлина,сушеное манго,add2,2,"Талант ""Всевидящее око"" 1 ступень",raw,,,Copy of Лаборатория Агнес.xlsx
UHG,Уши Гремлина,сушеное манго,add3,3,Смена любой предрасположенности на Энергию Разума,raw,,,Copy of Лаборатория Агнес.xlsx
VGU,Вареная Грива Ужвениста,Стеклянная лапша (запаренная),main,0,"Затмевает ""разум"", хочется прыгать скакать громко кричать И-Го-Го, бить копытом и т.д.",reason_clouding,,,10.2 Алхимия_ Молодой Аристократ.xlsx
VGU,Вареная Грива Ужвениста,Стеклянная лапша (запаренная),add1,1,Может использоваться в эликсирах дарующих красоту (красная Роза),raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
VGU,Вареная Грива Ужвениста,Стеклянная лапша (запаренная),add2,2,"Убирает до 2 любых плюс из существующих у персонажа, или в составе эликисра",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
VGU,Вареная Грива Ужвениста,Стеклянная лапша (запаренная),add3,3,Может использоваться в зельях/элексирах на плодородие (любое в том числе и для увеличения шансов забеременеть).,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
VT,Вонь трава,Тимьян,main,0,Вводит в состояние депрессии,raw,,,Copy of Лаборатория Агнес.xlsx
VT,Вонь трава,Тимьян,add1,1,Временно снимает эффекты проклятий,raw,,,Copy of Лаборатория Агнес.xlsx
VT,Вонь трава,Тимьян,add2,2,Защищает от ментального воздействия,mental_protection,,,Copy of Лаборатория Агнес.xlsx
VT,Вонь трава,Тимьян,add3,3,Защищает от нематериальных существ,raw,,,Copy of Лаборатория Агнес.xlsx
VZ,Волосы Зелигены/Дриады/Дэндроида,Зелённый крупнолистовой чай,main,0,Сильное успокоительное,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
VZ,Волосы Зелигены/Дриады/Дэндроида,Зелённый крупнолистовой чай,add1,1,Исцеляет при ментальных болезнях с 50% вероятностью (бросается кубик д6 на чет или нечет). Важно что бы сила зелья/эликсира была выше минимум на 1 единицу болезни.,raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
VZ,Волосы Зелигены/Дриады/Дэндроида,Зелённый крупнолистовой чай,add2,2,"Ослабляют проклятия, на силу зелья/эликсира",raw,,,10.2 Алхимия_ Молодой Аристократ.xlsx
VZ,Волосы Зелигены/Дриады/Дэндроида,Зелённый крупнолистовой чай,add3,3,Сильное противоядие,antidote,strong,,10.2 Алхимия_ Молодой Аристократ.xlsx
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,Оранжевый пищевой краситель,main,0,Смертельный яд,poison,deadly,,Copy of Лаборатория Агнес.xlsx
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,Оранжевый пищевой краситель,add1,1,"Ослабляет естественные барьеры (снижает по ступени эликсира показатель барьеров воли, разума и души в равном кол-ве)",raw,,,Copy of Лаборатория Агнес.xlsx
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,Оранжевый пищевой краситель,add2,2,Разрушает энергетические потоки (при силе 20 разрушается 1 поток),raw,,,Copy of Лаборатория Агнес.xlsx
YN,Яд Арахны/Яд Нёкки/Кровь Ундины,Оранжевый пищевой краситель,add3,3,Усиливает восприимчивость к энергии Тени (урон от Тени *2),raw,,,Copy of Лаборатория Агнес.xlsx
ZBD,Зубодробитель,Смородина лист,main,0,Разжигает паранойю,raw,,,Copy of Лаборатория Агнес.xlsx
ZBD,Зубодробитель,Смородина лист,add1,1,Позволяет стать неосязаемым (зеленая вуаль),raw,,,Copy of Лаборатория Агнес.xlsx
ZBD,Зубодробитель,Смородина лист,add2,2,Непереносимость солнечного света - при нахождении более 10 минут вводит в состояние тяжедого ранения (ожоги кожи),raw,,,Copy of Лаборатория Агнес.xlsx
ZBD,Зубодробитель,Смородина лист,add3,3,"Вызывает зависимость 1 уровня, см. правила ""Голод"". При наличии зависимости, увеличивает ее уровень на +1",raw,,,Copy of Лаборатория Агнес.xlsx
ZG,Зубы Гнома/Маркопола,Семена подсолнух чищенные,main,0,Вызывает опьянение,intoxication,,,Copy of Лаборатория Агнес.xlsx
ZG,Зубы Гнома/Маркопола,Семена подсолнух чищенные,add1,1,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,,Copy of Лаборатория Агнес.xlsx
ZG,Зубы Гнома/Маркопола,Семена подсолнух чищенные,add2,2,"Заживляет раны и останавливает кровотечение (восстанавливает потерянные хиты, по силе зелья/эликсира). Если рана не затянулася полностью, она не переходит на следующую ступень пока действует эликсир/зелье.",stop_bleeding,,,Copy of Лаборатория Агнес.xlsx
ZG,Зубы Гнома/Маркопола,Семена подсолнух чищенные,add3,3,"Вызывает окаменение (тело полностью покрывается камнем, личность же мага действует по правилам магической комы)",raw,,,Copy of Лаборатория Агнес.xlsx
ZM,Запертый морок,Бадьян,main,0,Делает максимально уязвимым для всех магических болезней (получить карту вирусного заболевания у МГ),raw,,,Copy of Лаборатория Агнес.xlsx
ZM,Запертый морок,Бадьян,add1,1,Превращает любые металлы в каллёное железо,raw,,,Copy of Лаборатория Агнес.xlsx
ZM,Запертый морок,Бадьян,add2,2,Открывает скрытые таланты (при наличии талантов 0 ступени),raw,,,Copy of Лаборатория Агнес.xlsx
ZM,Запертый морок,Бадьян,add3,3,Запирает в мире снов,raw,,,Copy of Лаборатория Агнес.xlsx
ZP,Цветок Лжепапорника,Гибискус (суданская роза),main,0,"От смертельных вирусов, противосполительное",raw,,,Copy of Лаборатория Агнес.xlsx
ZP,Цветок Лжепапорника,Гибискус (суданская роза),add1,1,Замедляет процессы в организме любые,raw,,,Copy of Лаборатория Агнес.xlsx
ZP,Цветок Лжепапорника,Гибискус (суданская роза),add2,2,От перепадов Настроения,raw,,,Copy of Лаборатория Агнес.xlsx
ZP,Цветок Лжепапорника,Гибискус (суданская роза),add3,3,От Тошноты,raw,,,Copy of Лаборатория Агнес.xlsx
ZR,Зубы Рататоска/Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Миндаль,main,0,Вызывает привыкание при приеме 2 доз в течении суток,raw,,,Copy of Лаборатория Агнес.xlsx
ZR,Зубы Рататоска/Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Миндаль,add1,1,"Позволяет выйти с телом в мир снов, по правилам истинного сноходца",raw,,,Copy of Лаборатория Агнес.xlsx
ZR,Зубы Рататоска/Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Миндаль,add2,2,"Приводит в состояние эйфории, открывает личность (снижает ментальные барьеры до 1)",intoxication,,,Copy of Лаборатория Агнес.xlsx
ZR,Зубы Рататоска/Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Миндаль,add3,3,"Усиливает техники энергии ""Мира"" (сила эликсира/2 = + к техникам)",raw,,,Copy of Лаборатория Агнес.xlsx
