code,name,material,slot,slot_index,effect_text,source
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,main,0,Смертельный Яд,Copy of Лаборатория Агнес.xlsx
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,add1,1,Выводит смертельные яды из организма (сила вашего эликсира/зелья должна быть минимум половины силы яда),Copy of Лаборатория Агнес.xlsx
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,add2,2,Выводит смертельные вирусы из организма (сила вашего эликсира/зелья должна быть минимум половины силы вируса),Copy of Лаборатория Агнес.xlsx
AM,Яд Мантикоры/Яд Бабая,Кока-Кола,add3,3,Парализует погружая в магический стазис,Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,main,0,"Дарует в следствии мутации талант ""Прекрасный Незнакомец"" 3 ступени, при использовании вне мутации дает на время красоту (Маркер красной розы)",Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,add1,1,Повышенная болтливость и честность (может использоваться в зельях/эликсирах правды),Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,add2,2,"Абсолютная любовь к окружающим без исключения (если добавлена чья то кровь в эликсир, то любовь к тому чья кровь была добавлена)",Copy of Лаборатория Агнес.xlsx
AMN,Цветки Амаранэ,Амарант,add3,3,"Разжигает страсть к прекрасному (искусство, слова, предметы и т.п.)",Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,main,0,"Смертельный яд для перевёртышей (обладатели таланта ""Превращение"")",Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,add1,1,Способно вылечить средний тип болезней,Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,add2,2,"Лечит сумасшествие, нервные расстройства",Copy of Лаборатория Агнес.xlsx
BA,Волчий Аконит,Мелисса,add3,3,Разрушает наложенное ментальное воздействие,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,main,0,"Путанность мыслей, невозможность их сформулировать",Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,add1,1,Помогает при лихорадке,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,add2,2,Кровоостанавливающее средство,Copy of Лаборатория Агнес.xlsx
BH,Белолистый Жёлтоцвет,Ромашка,add3,3,Ослабляет ментальную защиту,Copy of Лаборатория Агнес.xlsx
BN,Белена,Жасмин,main,0,"Галлюцинации, вызывающие злобу, агрессивность, манию пресследования",10.2 Алхимия_ Молодой Аристократ.xlsx
BN,Белена,Жасмин,add1,1,"Сильное болеутоляющее, может использоваться, как анастезия",10.2 Алхимия_ Молодой Аристократ.xlsx
BN,Белена,Жасмин,add2,2,Слабый яд (понижает энергию),10.2 Алхимия_ Молодой Аристократ.xlsx
BN,Белена,Жасмин,add3,3,Повышает привлекательность для дэймонов,10.2 Алхимия_ Молодой Аристократ.xlsx
BNN,Борода Ниссе/Домового,Ванилин,main,0,Вызывает сильное желание оберегать и заботиться о слабых,Copy of Лаборатория Агнес.xlsx
BNN,Борода Ниссе/Домового,Ванилин,add1,1,Используется в зельях иллюзий,Copy of Лаборатория Агнес.xlsx
BNN,Борода Ниссе/Домового,Ванилин,add2,2,Защищает от кошмаров,Copy of Лаборатория Агнес.xlsx
BNN,Борода Ниссе/Домового,Ванилин,add3,3,Дает иммунитет к зельям правды и другим техникам допросов,Copy of Лаборатория Агнес.xlsx
CG,Цветок Гармонии,Арония,main,0,"Помогает от магии энергий (тело, душа, тень)",Copy of Лаборатория Агнес.xlsx
CG,Цветок Гармонии,Арония,add1,1,Отпугивает Дэймонов,Copy of Лаборатория Агнес.xlsx
CG,Цветок Гармонии,Арония,add2,2,"Востанавливает от ран Души (не психологические, а магического составляющего любого живого существа)",Copy of Лаборатория Агнес.xlsx
CG,Цветок Гармонии,Арония,add3,3,Вводит в летаргический сон,Copy of Лаборатория Агнес.xlsx
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),Чёрный крупнолистовой чай,main,0,Усиление способности впитывать энергию,Copy of Лаборатория Агнес.xlsx
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),Чёрный крупнолистовой чай,add1,1,Способность генерировать все типы энергий из энергии Души,Copy of Лаборатория Агнес.xlsx
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),Чёрный крупнолистовой чай,add2,2,"Устойчивость к реализации любых энергий, кроме Тела и Света",Copy of Лаборатория Агнес.xlsx
CHA,Песок черной пустыни/Хром (Тень/Фиолетовый),Чёрный крупнолистовой чай,add3,3,Восстанавливает энергетические потоки в организме при их разрыве (каждый разрыв востанавливается при силе готового зелья/эликсира не менее 20 единиц),Copy of Лаборатория Агнес.xlsx
CN,Кровь Нулла,Красный пищевой краситель,main,0,Средний Яд,10.2 Алхимия_ Молодой Аристократ.xlsx
CN,Кровь Нулла,Красный пищевой краситель,add1,1,Увеличивает Физическое здоровье до показателя силы крови (хиты=сила крови),10.2 Алхимия_ Молодой Аристократ.xlsx
CN,Кровь Нулла,Красный пищевой краситель,add2,2,"Увеличивает рандомно знание магии на 1 единицу. При временном эффекте зелье/эликсир/настойки написать в бот мг для получения рандомной точки усиления, действовать усиление будет в течение действия зелья/эликсира/настойки. При неснимаемом/нерушимом продукте магии получить рандомную карту ОП у мг.",10.2 Алхимия_ Молодой Аристократ.xlsx
CN,Кровь Нулла,Красный пищевой краситель,add3,3,Слабый яд,10.2 Алхимия_ Молодой Аристократ.xlsx
DGR,Древо Грюневальд,Кора Дуба,main,0,"Увеличивает плодородие (100% залет), может привести к непорочному зачатию в случае если в составе эликсира.",Copy of Лаборатория Агнес.xlsx
DGR,Древо Грюневальд,Кора Дуба,add1,1,"Влияет на детей в утробе, увеличивает потенциал силы крови",Copy of Лаборатория Агнес.xlsx
DGR,Древо Грюневальд,Кора Дуба,add2,2,"Дает долголетие (пара луна и луч закрашиваются раз в 20 лет), работает только в мутациях.",Copy of Лаборатория Агнес.xlsx
DGR,Древо Грюневальд,Кора Дуба,add3,3,"В составе эликсиров является смертельным ядом, для обладателя плюса ""Ахилесова Пята"".",Copy of Лаборатория Агнес.xlsx
EO,Эссенция призрака,Зелённый пищевой краситель,main,0,"Открывает способности к переходу за грань (одноразовая сработка таланта ""Обманщик Ограничений на 1 ступени)",Copy of Лаборатория Агнес.xlsx
EO,Эссенция призрака,Зелённый пищевой краситель,add1,1,"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам)",Copy of Лаборатория Агнес.xlsx
EO,Эссенция призрака,Зелённый пищевой краситель,add2,2,"Увеличивает магический потенциал (сила крови *2, но не более 50ти единиц. При этом не увеличивает показатель хитов)",Copy of Лаборатория Агнес.xlsx
EO,Эссенция призрака,Зелённый пищевой краситель,add3,3,"Позволяет видеть невидимое и скрытое (работает как плюс ""Глаза Существа - Элементаль"")",Copy of Лаборатория Агнес.xlsx
EP,Концентрат Эктоплазмы призрака,Кунжут,main,0,Делает нематериальным (зелёная вуаль),Copy of Лаборатория Агнес.xlsx
EP,Концентрат Эктоплазмы призрака,Кунжут,add1,1,Вызывает панику,Copy of Лаборатория Агнес.xlsx
EP,Концентрат Эктоплазмы призрака,Кунжут,add2,2,Вызывает непереносимость солнечного света,Copy of Лаборатория Агнес.xlsx
EP,Концентрат Эктоплазмы призрака,Кунжут,add3,3,Сильный яд,Copy of Лаборатория Агнес.xlsx
FN,Фрамбаозза Норвежская,Листья Малины,main,0,"Эйфория, схожая с опьянением",Copy of Лаборатория Агнес.xlsx
FN,Фрамбаозза Норвежская,Листья Малины,add1,1,Жаропонижающаее средство,Copy of Лаборатория Агнес.xlsx
FN,Фрамбаозза Норвежская,Листья Малины,add2,2,Заживляет раны,Copy of Лаборатория Агнес.xlsx
FN,Фрамбаозза Норвежская,Листья Малины,add3,3,Побуждает говорить только правду,Copy of Лаборатория Агнес.xlsx
FR,Философская Ртуть (Время/Оранжевый),Корень солодки (раствор),main,0,"Головокружение, проблемы с вестибулярным аппаратом",Copy of Лаборатория Агнес.xlsx
FR,Философская Ртуть (Время/Оранжевый),Корень солодки (раствор),add1,1,Смертельный яд,Copy of Лаборатория Агнес.xlsx
FR,Философская Ртуть (Время/Оранжевый),Корень солодки (раствор),add2,2,Используется для смены внешности,Copy of Лаборатория Агнес.xlsx
FR,Философская Ртуть (Время/Оранжевый),Корень солодки (раствор),add3,3,Блокирует магическую силу (сила эликсира = время в минутах),Copy of Лаборатория Агнес.xlsx
FS,Философская Сера (Разум/Зелёный),Мускатный орех молотый,main,0,"Совершение плохого поступка (одно действие, которое по моральному кодексу персонажа никогда бы не было бы совершено)",Copy of Лаборатория Агнес.xlsx
FS,Философская Сера (Разум/Зелёный),Мускатный орех молотый,add1,1,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",Copy of Лаборатория Агнес.xlsx
FS,Философская Сера (Разум/Зелёный),Мускатный орех молотый,add2,2,Вызывает немоту,Copy of Лаборатория Агнес.xlsx
FS,Философская Сера (Разум/Зелёный),Мускатный орех молотый,add3,3,Средний яд,Copy of Лаборатория Агнес.xlsx
GLH,Глаз Лиха/Глаза Гуля,Киви,main,0,"Дарует плюс ""Глаза существа"" - Хэйри (при обратной формуле) /Дэймон (при прямой формуле). Может использоваться в зельях, для врменного эффекта.",Copy of Лаборатория Агнес.xlsx
GLH,Глаз Лиха/Глаза Гуля,Киви,add1,1,На 3 часа делает вас отвратительным и не красивым (синяя роза),Copy of Лаборатория Агнес.xlsx
GLH,Глаз Лиха/Глаза Гуля,Киви,add2,2,Лишает знаний языков,Copy of Лаборатория Агнес.xlsx
GLH,Глаз Лиха/Глаза Гуля,Киви,add3,3,"Дает магический счит от магии энергии Тени, может использоваться как противовес данной энергии в составе эликсира.",Copy of Лаборатория Агнес.xlsx
GRO,Грозовик,Шалфей,main,0,"Ядовито для женщин, при контакте приводик к сну без сноведений (правила магической комы). У мужчин вызывает опьянение и эфорию.",Copy of Лаборатория Агнес.xlsx
GRO,Грозовик,Шалфей,add1,1,Усиление магии молнии,Copy of Лаборатория Агнес.xlsx
GRO,Грозовик,Шалфей,add2,2,Эйфория,Copy of Лаборатория Агнес.xlsx
GRO,Грозовик,Шалфей,add3,3,"Невосприимчивость к привлекательности противоположного пола (как магической, так и природной)",Copy of Лаборатория Агнес.xlsx
GSI,Глаза Сильфа,Маршмэллоу,main,0,"Используется для лишения плюса ""Глаза Существа"" через эликсиры Мутаций. При использовании в зельях лишает плюса на время работы зелья.",10.2 Алхимия_ Молодой Аристократ.xlsx
GSI,Глаза Сильфа,Маршмэллоу,add1,1,"Отрезвляет, без похмелья",10.2 Алхимия_ Молодой Аристократ.xlsx
GSI,Глаза Сильфа,Маршмэллоу,add2,2,Противоядие против средних ядов,10.2 Алхимия_ Молодой Аристократ.xlsx
GSI,Глаза Сильфа,Маршмэллоу,add3,3,"Согревает изнутри, используется для пробуждающих эликсиров (можно использовать такие для снятия стазиса и других эффектов насильного погружения в сны)",10.2 Алхимия_ Молодой Аристократ.xlsx
HS,Хрящи Саламандры,Арахис (жареный и чищеный),main,0,Стойкость к любого рода соблазнам,Copy of Лаборатория Агнес.xlsx
HS,Хрящи Саламандры,Арахис (жареный и чищеный),add1,1,Вызывает Магическую Лихорадку (получи карту вируса у МГ),Copy of Лаборатория Агнес.xlsx
HS,Хрящи Саламандры,Арахис (жареный и чищеный),add2,2,Повышенная холоднокровность в поступках,Copy of Лаборатория Агнес.xlsx
HS,Хрящи Саламандры,Арахис (жареный и чищеный),add3,3,Повышает храбрость и мужество,Copy of Лаборатория Агнес.xlsx
HV,Хорхелла,Гвоздика,main,0,Снижает влечение к противоположному полу,Copy of Лаборатория Агнес.xlsx
HV,Хорхелла,Гвоздика,add1,1,Среднее Противоядие,Copy of Лаборатория Агнес.xlsx
HV,Хорхелла,Гвоздика,add2,2,Против ментального воздействия,Copy of Лаборатория Агнес.xlsx
HV,Хорхелла,Гвоздика,add3,3,Эффект снотворного,Copy of Лаборатория Агнес.xlsx
IAP,Эссенция Подвея,Мармелад,main,0,Разжигает чувство вины,10.2 Алхимия_ Молодой Аристократ.xlsx
IAP,Эссенция Подвея,Мармелад,add1,1,Открывает тягу к природе (обнимать березу и т.д.),10.2 Алхимия_ Молодой Аристократ.xlsx
IAP,Эссенция Подвея,Мармелад,add2,2,"Усиливает готовый эликсир. Сила усиления равна ступени вашего эликсира/зелья (была ступень суперио, усиление идет на +3 единицы и т.д.)",10.2 Алхимия_ Молодой Аристократ.xlsx
IAP,Эссенция Подвея,Мармелад,add3,3,"Позволяет видеть сквозь красную вуаль (работает как плюс ""Глаза Существа - Элементаль"")",10.2 Алхимия_ Молодой Аристократ.xlsx
IBP,Измельченная Борода Подвея,Мука Пшеничная,main,0,Вызывает немоту,Copy of Лаборатория Агнес.xlsx
IBP,Измельченная Борода Подвея,Мука Пшеничная,add1,1,Блокирует Таланты на время работы эликсира,Copy of Лаборатория Агнес.xlsx
IBP,Измельченная Борода Подвея,Мука Пшеничная,add2,2,Делает Нематериальным (зелёная вуаль),Copy of Лаборатория Агнес.xlsx
IBP,Измельченная Борода Подвея,Мука Пшеничная,add3,3,Ненависть к кровным узам (к близким родственикам),Copy of Лаборатория Агнес.xlsx
KAL,Клыки Упыря/Тэнгри/Альпа,Соленый огурец,main,0,Парализующий сильный яд,Copy of Лаборатория Агнес.xlsx
KAL,Клыки Упыря/Тэнгри/Альпа,Соленый огурец,add1,1,"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам). Применимо только в мутациях.",Copy of Лаборатория Агнес.xlsx
KAL,Клыки Упыря/Тэнгри/Альпа,Соленый огурец,add2,2,"Используется для очищения от мутаций, а так же может использоваться в эликсирах/зельях лечения физических ран (востановления хитов)",Copy of Лаборатория Агнес.xlsx
KAL,Клыки Упыря/Тэнгри/Альпа,Соленый огурец,add3,3,Разжигает голод до крови 1 ступени (см правила по голоду),Copy of Лаборатория Агнес.xlsx
KDR,Кровь Древнего,Гранатовый сок,main,0,Смертельный яд,Copy of Лаборатория Агнес.xlsx
KDR,Кровь Древнего,Гранатовый сок,add1,1,"Дает плюс ""Великий Лидер"" на 30 минут, над существами вашего вида",Copy of Лаборатория Агнес.xlsx
KDR,Кровь Древнего,Гранатовый сок,add2,2,"Увеличиввает срок жизни (1 пара луна+луч это 15 лет, а не 10)",Copy of Лаборатория Агнес.xlsx
KDR,Кровь Древнего,Гранатовый сок,add3,3,Дает рандомно (на выбор куба Д10) 1 стихийный талант на 1 ступени,Copy of Лаборатория Агнес.xlsx
KLA,Лапа Алконоста/Симурана,Фисташки,main,0,Барьер Души снижается до 1 единицы,10.2 Алхимия_ Молодой Аристократ.xlsx
KLA,Лапа Алконоста/Симурана,Фисташки,add1,1,"Невозможно молчать, нужно всегда что-то говорить или петь",10.2 Алхимия_ Молодой Аристократ.xlsx
KLA,Лапа Алконоста/Симурана,Фисташки,add2,2,Дает плюс “Фартовый” при использовании свойства в эликсире Мутации. В зельях при использовании плюс дается временно.,10.2 Алхимия_ Молодой Аристократ.xlsx
KLA,Лапа Алконоста/Симурана,Фисташки,add3,3,Вегаторианство (позволяет заглушить голод персонажа фруктами или овощами),10.2 Алхимия_ Молодой Аристократ.xlsx
KLS,Клюква Сибирская,Клюква,main,0,"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",Copy of Лаборатория Агнес.xlsx
KLS,Клюква Сибирская,Клюква,add1,1,"Затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""Регенерация"")",Copy of Лаборатория Агнес.xlsx
KLS,Клюква Сибирская,Клюква,add2,2,"Дарует магический щит, работающий только против магии энергии души (стихийная магия, стихийные таланты)",Copy of Лаборатория Агнес.xlsx
KLS,Клюква Сибирская,Клюква,add3,3,"Помогает при лихорадке, снижает температуру",Copy of Лаборатория Агнес.xlsx
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,Клубничный сок с черным красителем или активированным углем,main,0,"Используется для очещения от мутаций, а так же может использоваться в эликсирах лечения физических ран (востановления хитов)",Copy of Лаборатория Агнес.xlsx
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,Клубничный сок с черным красителем или активированным углем,add1,1,"Противовирусное средство (физические болезни, убирает симптомы, ослабляет силу вируса)",Copy of Лаборатория Агнес.xlsx
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,Клубничный сок с черным красителем или активированным углем,add2,2,Невозможность пересечь круг из твердой квинтэссенции,Copy of Лаборатория Агнес.xlsx
KMM,Кровь Мертвого Мага/Кровь Гуля/Кровь Драуга,Клубничный сок с черным красителем или активированным углем,add3,3,Используется в эликсирах для разжигания неудачи (см правила по маркерам),Copy of Лаборатория Агнес.xlsx
KPM,Камень из почки мага,Мятный леденец,main,0,"Увеличивает силу крови мага (на время действия эликсира/зелья) на силу эликсира, на 1 боевую ситуацию.",Copy of Лаборатория Агнес.xlsx
KPM,Камень из почки мага,Мятный леденец,add1,1,Позволяет увеличить контроль магии (сила любых магических техник *2),Copy of Лаборатория Агнес.xlsx
KPM,Камень из почки мага,Мятный леденец,add2,2,Дарует физическое здоровье (используется в зельях/эликсирах лечения физ ран),Copy of Лаборатория Агнес.xlsx
KPM,Камень из почки мага,Мятный леденец,add3,3,Сильное противоядие,Copy of Лаборатория Агнес.xlsx
KQ,Квинтэсэнция (Душа/Красный),Соляной раствор (концентрат),main,0,"Дает прозрение (одноразовая сработка таланта ""Третий Глаз"" на 1 ступени)",Copy of Лаборатория Агнес.xlsx
KQ,Квинтэсэнция (Душа/Красный),Соляной раствор (концентрат),add1,1,Уравновешенность,Copy of Лаборатория Агнес.xlsx
KQ,Квинтэсэнция (Душа/Красный),Соляной раствор (концентрат),add2,2,Лечение магических болезней (ментальных),Copy of Лаборатория Агнес.xlsx
KQ,Квинтэсэнция (Душа/Красный),Соляной раствор (концентрат),add3,3,Способно лечить физические раны (восстанавливает хиты),Copy of Лаборатория Агнес.xlsx
KS,Кровь Сильфа,Голубой пищевой краситель,main,0,Увеличивает Легкомыслие,10.2 Алхимия_ Молодой Аристократ.xlsx
KS,Кровь Сильфа,Голубой пищевой краситель,add1,1,Обладает свойствами невидимости (красная вуаль),10.2 Алхимия_ Молодой Аристократ.xlsx
KS,Кровь Сильфа,Голубой пищевой краситель,add2,2,"Отрезвляет, без похмелья",10.2 Алхимия_ Молодой Аристократ.xlsx
KS,Кровь Сильфа,Голубой пищевой краситель,add3,3,Используется для зелий Левитации,10.2 Алхимия_ Молодой Аристократ.xlsx
KSH,Когти Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Кедровые Орехи,main,0,"Используется для очищения от мутаций, а так же может использоваться в элексирах лечения физических ран (востановления хитов)",Copy of Лаборатория Агнес.xlsx
KSH,Когти Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Кедровые Орехи,add1,1,Вызывает галюцинации,Copy of Лаборатория Агнес.xlsx
KSH,Когти Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Кедровые Орехи,add2,2,Дарует магические силы (талант или магический плюс рандомно от МГ),Copy of Лаборатория Агнес.xlsx
KSH,Когти Велесов Зверя/Чесма-Иеси/Шейско-хорского кота,Кедровые Орехи,add3,3,"Натягивает связь тела и личности, деляя ее более короткой",Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,main,0,Используется в эликсирах Полета,Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,add1,1,"Может использоваться в эликсирах смены предрасположености (только по средством мутации). При использовании в зельях предрасположеность меняется временно, пока работает зелье (бросьте куб d10 и через бот сообщите мг значение, для того что бы вам сообщили вашу временную предрасположеность)",Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,add2,2,"Получение минуса ""Любопытная Варвара"" (только по средством мутации). При использовании в зельях минус появляется временно, пока работает зелье.",Copy of Лаборатория Агнес.xlsx
KSI,Крылья Сильфа,Молочный шоколад,add3,3,Для эликсиров/зелий проникновения в чужой сон,Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,main,0,"Позволяет использовать талант ""улыбка Хитреца"" 1 ступени",Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,add1,1,"Слабость к музыке: доверие как к близкому другу к любому, кто является источником музыки (поет, играет, включил музыку)",Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,add2,2,Клептомания,Copy of Лаборатория Агнес.xlsx
KVI,Крыло взрослого импла,Лавровый лист,add3,3,Повышенная мстительность,Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,main,0,Магия темпуса на выходе сила*2,Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,add1,1,Возврат в нормальное состояние тела и разума для типа существа и чистоты крови,Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,add2,2,Покрытие золотой чешуей (физ. щит силой вашего эликсира/зелья),Copy of Лаборатория Агнес.xlsx
KZD,Кровь золотого дракона,Золотой пищевой краситель,add3,3,Позволяет увеличить безопасно время нахождения в стазисе/коме время увеличивается на ступень*10 минут,Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,main,0,"Слабый яд, для змееподобных существ (драконы, различные змеи, полукровки от них и т.д.)",Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,add1,1,Призывает удачу (маркер золотых звезд),Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,add2,2,"Вызывает заболевание ""Дырявая Душа"" (получить аскольд карту у МГ)",Copy of Лаборатория Агнес.xlsx
LG,Луговой клевер,Зеленый чай,add3,3,"Позволяет выйти в мир снов Настоящее, как после применения соответсвующих заклинаний сноходства",Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,main,0,Повышает настроение до здоровой веселости,Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,add1,1,Лечит нарушения сна,Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,add2,2,Понижает половое влечение,Copy of Лаборатория Агнес.xlsx
LH,Лиллея Шерстистая,Лаванда,add3,3,Спасает от кошмаров,Copy of Лаборатория Агнес.xlsx
MA,Марена Аравийская,Пуэр,main,0,Невозможно уснуть,10.2 Алхимия_ Молодой Аристократ.xlsx
MA,Марена Аравийская,Пуэр,add1,1,"Бодрость (способность находиться в состоянии высокого жизненного тонуса, избытка сил и желания что-либо делать)",10.2 Алхимия_ Молодой Аристократ.xlsx
MA,Марена Аравийская,Пуэр,add2,2,Бесстрашие и безрассудство,10.2 Алхимия_ Молодой Аристократ.xlsx
MA,Марена Аравийская,Пуэр,add3,3,Вспыльчивость,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,main,0,Помогает при разного рода омоложении сознания,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,add1,1,Помогает при дезориентации в пространстве,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,add2,2,Головная боль в височной части,10.2 Алхимия_ Молодой Аристократ.xlsx
MER,Медный Реликт (Мир/Голубой),Тростниковый сахар кубиком,add3,3,Снимает дрожжь в конечностях,10.2 Алхимия_ Молодой Аристократ.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,main,0,Успокаивает до безэмоциональности,Copy of Лаборатория Агнес.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,add1,1,Очищает разум,Copy of Лаборатория Агнес.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,add2,2,Восстанавливает память,Copy of Лаборатория Агнес.xlsx
MG,Марчиликант Глубинный,Базилик Зелёный,add3,3,Снотворное,Copy of Лаборатория Агнес.xlsx
MHK,Можжевельник кладбищенский,Можжевельник,main,0,"В составе эликсира дает магу защиту от различных духов и призраков, защищая от проникновения их в тело.",Copy of Лаборатория Агнес.xlsx
