effect_text,kind,tier,notes
"""Морская"" болезнь, тошнота",raw,,
Барьер Души снижается до 1 единицы,raw,,
Бесстрашие и безрассудство,raw,,
Блокирует магическую силу (сила эликсира = время в минутах),raw,,
Блокирует Таланты на время работы эликсира,raw,,
"Бодрость (способность находиться в состоянии высокого жизненного тонуса, избытка сил и желания что-либо делать)",wake,,
"В составе эликсира дает магу защиту от различных духов и призраков, защищая от проникновения их в тело.",raw,,
Вводит в летаргический сон,sleep,,
Вводит в состояние депрессии,raw,,
Вегаторианство (позволяет заглушить голод персонажа фруктами или овощами),raw,,
Возвращает телу чувствительность,raw,,
Возвращает утерянное зрение,raw,,
Возвращает утерянный слух,raw,,
"Восстанавливает функционирование составляющей части личности ""Воля""",raw,,
Восстанавливает энергетические потоки в организме при их разрыве (каждый разрыв востанавливается при силе готового зелья/эликсира не менее 20 единиц),raw,,
Восстанавливает энергию,restore_energy,,
"Восстановление функционирования составляющей части личности ""Разум""",raw,,
Востанавливает квинтэссенцию (по силе вашего эликсира/зелья),raw,,
"Востанавливает от ран Души (не психологические, а магического составляющего любого живого существа)",raw,,
Временно снимает эффекты проклятий,raw,,
Вспыльчивость,raw,,
"Выводит из депрессии, повышает общий тонус организма, бодрит",wake,,
Выводит из состояния опьянения,sobriety,,
"Вызывает ""Рыжиковое Заболевание"" (после приема зелья/эликсира с данным свойством получить аскольд-карту заболевания у МГ)",raw,,
Вызывает Галлюцинации (образы исполненой мечты/грёзы),hallucinations,,
"Вызывает галюцинации, может использоваться для выхода в транс для Шаманов или для глубокого погружения в медитацию.",hallucinations,,
Вызывает головную боль в затылочной части,raw,,
Вызывает кошмары на яву (галюцинации с кошмарами),hallucinations,,
Вызывает Магическую Лихорадку (получи карту вируса у МГ),raw,,
Вызывает немоту,raw,,
Вызывает непереносимость солнечного света,raw,,
"Вызывает общее насыщение организма, используется в мутациях для получения плюса ""Сытый""",raw,,
Вызывает панику,raw,,
Вызывает сексуальную дисфункцию (спосает от любых приворотов),raw,,
"Вызывает сексуальный подьем (работает как сильный стимулятор, раскрывает сексуальное влечение и выпускает на ружу)",raw,,
Галлюцинации,hallucinations,,
"Галлюцинации, вызывающие злобу, агрессивность, манию пресследования",hallucinations,,
Головная боль в височной части,raw,,
"Головокружение, проблемы с вестибулярным аппаратом",raw,,
Дает возможность на 3 часа быть неотразимым кому угодно (ношение красной розы),raw,,
"Дает магический счит от магии энергии Тени, может использоваться как противовес данной энергии в составе эликсира.",raw,,
Дает неуязвимость к стихийной магии и энергии Души,raw,,
"Дает плюс ""Великий Лидер"" на 30 минут, над существами вашего вида",raw,,
Дает плюс “Фартовый” при использовании свойства в эликсире Мутации. В зельях при использовании плюс дается временно.,raw,,
"Дает прозрение (одноразовая сработка таланта ""Третий Глаз"" на 1 ступени)",raw,,
Дает рандомно (на выбор куба Д10) 1 стихийный талант на 1 ступени,raw,,
"Дарует магический щит, работающий только против магии энергии души (стихийная магия, стихийные таланты)",raw,,
"Дарует плюс ""Глаза существа"" - Хэйри (при обратной формуле) /Дэймон (при прямой формуле). Может использоваться в зельях, для временного эффекта.",raw,,
"Дарует талант ""Каменная Стойкость"" на 2 ступени реализации",raw,,
"Дарует талант ""Манипулятор"" на 1 ступени реализации",raw,,
"Дарует Талант ""Переносчик Чумы"" на 2 ступени реализации",raw,,
Дают возможность разговаривать с растениями,raw,,
Делает не видимым (по правилам красной вуали),raw,,
Делает нематериальным (зелёная вуаль),raw,,
Делает Нематериальным (зелёная вуаль),raw,,
Для эликсиров/зелий проникновения в чужой сон,raw,,
Жаропонижающаее средство,raw,,
Заживляет раны,healing_phys,,
Замедляет процессы в организме любые,raw,,
Заставляет говорить только правду,truth,,
Заставляет непрерывно врать,lie,,
Заставляет фиксироваться на одной цели,raw,,
"Затмевает ""разум"", хочется прыгать скакать громко кричать И-Го-Го, бить копытом и т.д.",raw,,
"Затягивает легкие раны, кол-во которых напрямую зависит от силы зелья/эликсира (работает, как плюс ""Регенерация"")",raw,,
Защита от любых магических воздействий,raw,,
Защищает от ментального воздействия,raw,,
Защищает от нематериальных существ,raw,,
"Защищает от суккубов и инкубов (любых видов соблазнения, убирает воздействия афродизиаков и приворотов)",raw,,
Защищают от воздействий на разум,raw,,
Используется в эликсирах для разжигания неудачи (см правила по маркерам),raw,,
Используется в эликсирах Полета,raw,,
Используется для зелий Левитации,raw,,
"Используется для лишения плюса ""Глаза Существа"" через эликсиры Мутаций. При использовании в зельях лишает плюса на время работы зелья.",raw,,
"Используется для очещения от мутаций, а так же может использоваться в эликсирах лечения физических ран (востановления хитов)",healing_phys,,
"Используется для очищения от мутаций, а так же может использоваться в эликсирах/зельях лечения физических ран (востановления хитов)",healing_phys,,
Используется для смены внешности,raw,,
Исцеляет при ментальных болезнях с 50% вероятностью (бросается кубик д6 на чет или нечет). Важно что бы сила зелья/эликсира была выше минимум на 1 единицу болезни.,raw,,
Исцеляет физические раны,healing_phys,,
Клептомания и тяга ко всему блестящему,kleptomania,,
Кровоостанавливающее средство,stop_bleeding,,
Лечение магических болезней (ментальных),raw,,
Лечит нарушения сна,raw,,
"Лечит сумасшествие, нервные расстройства",raw,,
Лихорадка,raw,,
Лишает знаний языков,raw,,
Может использоваться в зельях/элексирах на плодородие (любое в том числе и для увеличения шансов забеременеть).,raw,,
Может использоваться в эликсирах дарующих красоту (красная Роза),raw,,
"Может использоваться в эликсирах смены предрасположености (только по средством мутации). При использовании в зельях предрасположеность меняется временно, пока работает зелье (бросьте куб d10 и через бот сообщите мг значение, для того что бы вам сообщили вашу временную предрасположеность)",raw,,
Может использоваться против плюсов психических и существ,raw,,
Может использоваться против плюсов физического или магического типа,raw,,
"Мстительность, агрессия",raw,,
На 3 часа делает вас отвратительным и не красивым (синяя роза),raw,,
Наносит повреждения магическим созданиям (работает как слабый яд для существ),poison,weak,
"Нарушение функционированя составляющей части личности ""Воля""",raw,,
"Невозможно молчать, нужно всегда что-то говорить или петь",raw,,
Невозможно уснуть,cannot_sleep,,
Невозможность пересечь круг из твердой квинтэссенции,raw,,
"Невосприимчивость к привлекательности противоположного пола (как магической, так и природной)",raw,,
Немота,raw,,
Ненависть к кровным узам (к близким родственикам),raw,,
Нормализует энергообмен в теле,raw,,
Обладает свойствами невидимости (красная вуаль),raw,,
"Обращает вспять превращения любого рода (отменяет последнюю мутацию организма, останавливает превращение через блокировку таланта ""Превращение"" и блокировку плюса ""Второй Облик"")",raw,,
"Омолаживает на 10 лет, может применяться 1 раз на 1 персонажа за всю его жизнь",raw,,
"Ослабляет естественные барьеры (снижает по ступени эликсира показатель барьеров воли, разума и души в равном кол-ве)",raw,,
Ослабляет ментальную защиту,mental_def_down,,
"Ослабляют проклятия, на силу зелья/эликсира",raw,,
От перепадов Настроения,raw,,
"От смертельных вирусов, противосполительное",raw,,
От Тошноты,raw,,
"Открывает способности к переходу за грань (одноразовая сработка таланта ""Обманщик Ограничений на 1 ступени)",raw,,
Открывает тягу к природе (обнимать березу и т.д.),raw,,
Отпугивает Дэймонов,raw,,
"Отрезвляет, без похмелья",sobriety,,
Парализует (сильный яд),poison,strong,
Парализующий сильный яд,poison,strong,
Побуждает говорить только правду,truth,,
Побуждает рисковать и подбивать на рискованные действия других,raw,,
Повышает ментальную защиту,mental_protect,,
Повышает настроение до здоровой веселости,raw,,
"Повышает привлекательность в глазах представителей противоположного пола, может использоваться в приворотных эликсирах.",raw,,
Повышает привлекательность для дэймонов,raw,,
Повышает храбрость и мужество,raw,,
Повышенная холоднокровность в поступках,raw,,
"Позволяет взять под контроль любого мага по аналогии с талантом ""Знаменитый Кукловод"" на 2 ступени реализации (если использовать с кровью жертвы)",raw,,
"Позволяет видеть невидимое и скрытое (работает как плюс ""Глаза Существа - Элементаль"")",raw,,
"Позволяет видеть сквозь красную вуаль (работает как плюс ""Глаза Существа - Элементаль"")",raw,,
Позволяет понимать язык животных,raw,,
"Позволяет снимать любой приворот, даже родовой, если сила эликсира выше минимум на 1 единицу приворота. При использовании в зелье, снятие идет временное.",raw,,
"Получение минуса ""Любопытная Варвара"" (только по средством мутации). При использовании в зельях минус появляется временно, пока работает зелье.",varvara,,
"Помогает от магии энергий (тело, душа, тень)",raw,,
Помогает при дезориентации в пространстве,raw,,
Помогает при лихорадке,raw,,
"Помогает при лихорадке, снижает температуру",raw,,
Помогает при разного рода омоложении сознания,raw,,
Понижает Голод (позволяет заглушить голод персонажа фруктами или овощами),raw,,
Понижает половое влечение,raw,,
Потеря координации,raw,,
Приводит в баланс энергии Жизни и Смерти в теле  (выравнивает кол-во карт Жизни и Смерти в теле Лекаря в меньшую сторону),raw,,
"Приводит настроение в состояние равновесия, убирает негативные чувтсва",raw,,
Против ментального воздействия,mental_protect,,
Против проклятий (временно их отключает если сила зелья/эликсира выше его показателя силы),raw,,
"Против симптомов магических вирусов (откатывает симптомы к началу развития, после болезнь развивается как обычно)",raw,,
"Противовирусное средство (физические болезни, убирает симптомы, ослабляет силу вируса)",raw,,
Противоядие от смертельных ядов. При использовании в мутации свойство противоядия становится постоянным для организма.,antidote,deadly,
Противоядие против средних ядов,antidote,medium,
Проявляет невидимое,raw,,
"Путанность мыслей, невозможность их сформулировать",raw,,
Разжигает голод до крови 1 ступени (см правила по голоду),raw,,
"Разжигает голод на 1 ступени, до плоти магов",raw,,
"Разжигает любовь (заставляет признаться в своих чувствах, тому кто действительно нравится и в кого влюблен)",raw,,
Разжигает манию величия,raw,,
Разжигает чувство вины,raw,,
Разрушает наложенное ментальное воздействие,mental_cleanse,,
Разрушает энергетические потоки (при силе 20 разрушается 1 поток),raw,,
Сводят с ума,raw,,
СИЛЬНО повышает настроение,raw,,
"Сильное болеутоляющее, может использоваться, как анастезия",raw,,
Сильное противоядие,antidote,strong,
Сильное снотворное,sleep,,
Сильное успокоительное,raw,,
Сильный яд,poison,strong,
Слабое Противоядие,antidote,weak,
Слабый яд,poison,weak,
Слабый яд (понижает энергию),poison,weak,ENERGY_DOWN
Смертельный яд,poison,deadly,
"Смертельный яд для перевёртышей (обладатели таланта ""Превращение"")",poison,deadly,
Снижает агресивность,raw,,
Снижает влечение к противоположному полу,raw,,
Снимает воспаление и зуд кожных покровов,raw,,
Снимает дрожжь в конечностях,raw,,
"Снимает последствия питания дэймона, против ""Дырявой Души"". Способно откатить симптомы данной болезни.",raw,,
Снотворное средство,sleep,,
"Совершение плохого поступка (одно действие, которое по моральному кодексу персонажа никогда бы не было бы совершено)",raw,,
"Согревает изнутри, используется для пробуждающих эликсиров (можно использовать такие для снятия стазиса и других эффектов насильного погружения в сны)",raw,,
"Состояние влюбленности (в первое существо (разумное) противоположного пола, которое увидел)",raw,,
Спасает от кошмаров,raw,,
Способно вылечить средний тип болезней,raw,,
Способно лечить физические раны (восстанавливает хиты),healing_phys,,
"Способно спасти от смертельных ядов, противоядие",antidote,deadly,
Способность генерировать все типы энергий из энергии Души,raw,,
Среднее Противоядие,antidote,medium,
Средний яд,poison,medium,
Средний Яд,poison,medium,
Средний Яд (открывает кровотечение),poison,medium,BLEEDING
Стойкость к любого рода соблазнам,tempt_resist,,
Тонизирует (более слабый вариант бодрости),wake,,
Убирает головную боль в затылочной части,raw,,
"Убирает до 2 любых плюс из существующих у персонажа, или в составе эликисра",raw,,
"Убирает паралич, в том числе от различных ядов и талантов",poison,weak,
Убирает симптомы магической чумы на поздних стадиях,raw,,
Увеличивает Легкомыслие,carefree,,
"Увеличивает магический потенциал (сила крови *2, но не более 50ти единиц. При этом не увеличивает показатель хитов)",raw,,
Увеличивает привлекательность (пока эликсир/зелье активен маркер красной розы),raw,,
"Увеличивает рандомно знание магии на 1 единицу. При временном эффекте зелье/эликсир/настойки написать в бот мг для получения рандомной точки усиления, действовать усиление будет в течение действия зелья/эликсира/настойки. При неснимаемом/нерушимом продукте магии получить рандомную карту ОП у мг.",raw,,
Увеличивает самую сильную привязанность до влюбленности,raw,,
Увеличивает Физическое здоровье до показателя силы крови (хиты=сила крови),raw,,
"Увеличиввает срок жизни (1 пара луна+луч это 15 лет, а не 10)",raw,,
Улучшает ментальную защиту,mental_protect,,
Уменьшает влечение к противоположному полу,raw,,
Уменьшает силу стихийных чар,raw,,
Уравновешенность,balance,,
Усиление магии молнии,raw,,
Усиление способности впитывать энергию,raw,,
"Усиливает влечение к противоположному полу, афродизиак",raw,,
Усиливает восприимчивость к энергии Тени (урон от Тени *2),raw,,
Усиливает готовый эликсир (сила на выходе *2) и даёт иммунитет к магии (пока работает этот эликсир полный иммунитет к любым магическим воздествиям),raw,,
"Усиливает готовый эликсир. Сила усиления равна ступени вашего эликсира/зелья (была ступень суперио, усиление идет на +3 единицы и т.д.)",raw,,
Усиливает любой эликсир/зелье на выходе. Сила усиления зависит от ступени приготовления зелья/эликсира. Усиление идет +показатель ступени.,raw,,
"Усиливает страхи, описанный кошмар в вашей вводной для вас теперь реален и вы его видите в любой отражающей поверхности",raw,,
"Усиливает техники энергии ""Мира"" (сила эликсира/2 = + к техникам)",raw,,
"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам)",raw,,
"Усиливает техники энергии ""Разума"" (сила эликсира/2 = + к техникам). Применимо только в мутациях.",raw,,
"Усиливает техники энергии если в составе эликисра используется металл, определение усиления идет в зависимотри от металла  (сила эликсира/2 = + к техникам)",raw,,
"Устойчивость к реализации любых энергий, кроме Тела и Света",raw,,
Фрагментарное ухудшение памяти,raw,,
Эйфория,raw,,
"Эйфория, схожая с опьянением",intoxication,,
Эффект снотворного,sleep,,
"Ядовито для женщин, при контакте приводик к сну без сноведений (правила магической комы). У мужчин вызывает опьянение и эфорию.",intoxication,,
